text,query,link
"Амбасадоры и евангелисты там :) Виндузятники - работают. Линуксоиды - работают. Маководы - придумывают красивую историю о величии бренда, чтоб хоть как-то оправдать конский ценник, и агрятся на всех, кто шатает их идеалы :) ",это была ирония,https://twitter.com/caustikk/status/1445108219731382273
стыдпозор ,это была ирония,https://twitter.com/che_nah_/status/399579470258245632
серьезно? ,это была ирония,https://twitter.com/kik_butowcki123/status/618361911709712384
"Какой победе, у нас вроде не война а спецоперация Нарушитель закона, за такое 15 лет дают ",это был сарказм,https://twitter.com/Draconitsa/status/1505139908838580230
Человеческое днк совпадает на 80% с морским огурцом ,это была ирония,https://twitter.com/jbiQj5gRI809z0g/status/1484492105288499208
"ПОЭТОМУ НАДО РАЗЪЕБАТЬ ВООБЩЕ ВСЮ СТРАНУ, СТЕРЕТЬ НАХУЙ ЕГО ГОРОДА С КАРТЫ, ТАК ПОБЕДИМ, УРА!!!! УМОЕМСЯ КРОВЬЮ НАЦИСТОВ, СЛАВА РОССИИ!!!!!!!!!! ",это была ирония,-
"Ну, может он так даёт понять западу, что их решения спорны, мягко говоря ",это была ирония,-
Этот твит ущемляет права женщин и сексуальных меньшинств! Женщина тоже может быть насильником! ,это была ирония,https://twitter.com/sunflowerpie/status/1180174743036731394
"У Албурова было 2 здоровенных треда на русском и английском, но ФБК конечно же обсуждает только платье. ",это был сарказм,https://twitter.com/SuggestedN/status/1518211542495465481
Джокер самодостаточная личность! ,это был сарказм,https://twitter.com/eeeopiumeeee/status/1517918605454856195
"Говорят, там может быть даже про мясо написано (но я не верю). ",это была ирония,https://twitter.com/MaxRazumov/status/1394288528729726980
"Козина, сказали же, что все спасены Или есть сомнения? ",это был сарказм,https://twitter.com/dancetodance3/status/1515043471106711554
"Я правильно понимаю, что канал успел за день провести соцопрос всех, кто находится на передовой? ",это была ирония,https://twitter.com/semper_adversum/status/650375391710982145
Капец канешна жиры свисают ,это был сарказм,https://twitter.com/Kronos_Son/status/1506968699420430336
Лапусечка моя самая прекрасная моя девочка люблюшки ,это была ирония,https://twitter.com/heezri/status/1204342532924162055
по мне?)))) ,это была ирония,https://twitter.com/kinokedy/status/813121554938728448
А ты че не на митинге ещё? ,это был сарказм,https://twitter.com/47Loan/status/1507014906901528584
"Ничего страшного. Раньше наши женщины к бабкам хожили вешалкой аборт делать, и сейчас походют. А если и не походют, рождаемость вырастет. ",это была ирония,-
у нас была история? ,это была ирония,https://twitter.com/freak_koroche/status/1305573414082674690
"О, звучит по-медицински ",это была ирония,https://twitter.com/StewartOrGod/status/1310478198665289728
"отписывайтесь, отписывайтесь. останетесь без моих автографов. ну или без фото моего растерзанного тела - кому что ближе. последнее тоже можно будет продать. ",это была ирония,-
"простым жителям обсирать свой город не патриотично, поэтому то, что лепит застройщик - это новые жилплощади! Новые ТЦ! ",это была ирония,https://twitter.com/eka_divnich/status/440904303990304768
"мне с северного, а потом с военведа домой пешком идти надо было? Так-то я в прошлом году от грека шла пешком домой ",это была ирония,https://twitter.com/toma_splin/status/430402397136252929
Классно!!! Очень хочу туда поехать!!! ,это был сарказм,https://twitter.com/bisflyb/status/1509541759503765515
надо увожать потписчиков. Лайк кто согласин! ,это была ирония,https://twitter.com/iPrizrak/status/764902815533830144
"Так. Ты где живёшь. То у тебя завтраки из кофейни, теперь этот вид. Знаешь что, иди в дырку в полу. Ненавижу. Фух, выплеснул Духовность. А где это? ",это была ирония,-
Привет из солнечного Лондона! ,это была ирония,https://twitter.com/tani_bolshakova/status/646713280606695428
резонно ,это был сарказм,https://twitter.com/midstdespair/status/1517957242019926017
"сейчас много событий,в том числе евровидение,но мало кто говорит о важном дне сегодня.с международным днем борьбы с гомофобией. ",это была ирония,https://twitter.com/lonelyshade/status/335438344152559616
"Я верно понимаю, в 1990 цветного фото не было ещё. ",это была ирония,https://twitter.com/AntonFa31686020/status/1449347578752028674
"Как думаете, ухудшилось отношение украинцев к россиянам? Когда помиримся? ",это была ирония,-
"Отличная техника, кстати. Хочу их фен) ",это была ирония,https://twitter.com/A_rinn_a/status/1430616129056219138
"Как это там было у Оруэлла - выполнить долг перед партией? Дословно не помню, но смысл такой. ",это была ирония,-
Куда глядит мэрия?) ,это была ирония,https://twitter.com/armanolog/status/1305311468200628224
